Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10
"HotBot ","RAD-METER1-02","Hot water flow meter v2 - Precision meter without non-return valve, incl reverse flow label.","Installer van stock","Home Assist - GP - Nivroc","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-METER1-02","Hot water flow meter v2 - Precision meter without non-return valve, incl reverse flow label.","Plentify Office - Oude Molen","","",,"",254176.4815,923.0000,0.0000,923.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-METER1-02","Hot water flow meter v2 - Precision meter without non-return valve, incl reverse flow label.","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,1.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-METER1-02","Hot water flow meter v2 - Precision meter without non-return valve, incl reverse flow label.","Plentify StoreAll","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-220","Hot water flow sensor cable v2.2.0","Balwin Johannesburg","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-220","Hot water flow sensor cable v2.2.0","Balwin KwaZulu-Natal","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-220","Hot water flow sensor cable v2.2.0","Plentify JHB","","",,"",3594.3470,38.0000,0.0000,38.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-220","Hot water flow sensor cable v2.2.0","Plentify Office - Oude Molen","","",,"",81687.3698,1259.0000,0.0000,1259.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-220","Hot water flow sensor cable v2.2.0","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW1-220","Hot water flow sensor cable v2.2.0","Wirecon","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW2-220","Hot water flow sensor cable v2.2.0 (Black Mylar)","Balwin Cape Town","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW2-220","Hot water flow sensor cable v2.2.0 (Black Mylar)","Balwin Johannesburg","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW2-220","Hot water flow sensor cable v2.2.0 (Black Mylar)","Plentify Office - Oude Molen","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW2-220","Hot water flow sensor cable v2.2.0 (Black Mylar)","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","RAD-FLOW2-220","Hot water flow sensor cable v2.2.0 (Black Mylar)","Wirecon","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - HotBot","PCB-CTL-0003","HotBot Geyser controller PCB v2.5.3 [4 Layer 1.6x141.74x141.74mm]","Barracuda (assemblies)","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - HotBot","PCB-CTL-0003","HotBot Geyser controller PCB v2.5.3 [4 Layer 1.6x141.74x141.74mm]","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - HotBot","PCB-CTL-0007","HotBot Geyser controller PCB v3.5.1","Barracuda (assemblies)","","",,"",8536.8706,200.0000,0.0000,200.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - HotBot","PCB-CTL-0007","HotBot Geyser controller PCB v3.5.1","Plentify Office - Oude Molen","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","LAB-ONB-0001","HotBot ID label for onboarding flyer","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,DEPRECATED,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","LAB-ONB-0002","HotBot ID labels for starter kits (individual stickers)","Plentify JHB","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","LAB-ONB-0002","HotBot ID labels for starter kits (individual stickers)","Plentify Office - Oude Molen","","",,"",15009.4000,40326.0000,0.0000,40326.0000,10100.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","LAB-ONB-0002","HotBot ID labels for starter kits (individual stickers)","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","FLY-INS-0001","HotBot Installation Manual","Installer van stock","Home Assist - GP - Nivroc","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","FLY-INS-0001","HotBot Installation Manual","Ivy League","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","FLY-INS-0001","HotBot Installation Manual","Plentify JHB","","",,"",314.1648,29.0000,0.0000,29.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","FLY-INS-0001","HotBot Installation Manual","Plentify Office - Oude Molen","","",,"",652.8096,61.0000,0.0000,61.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"Raw materials - kits","FLY-INS-0001","HotBot Installation Manual","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v253-WET","HotBot Kit 00 v253 - SMALL Box: no flow, wetness, WETILITY","Plentify Office - Oude Molen","","",,"",0.0000,0.0000,0.0000,28.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v253-WET","HotBot Kit 00 v253 - SMALL Box: no flow, wetness, WETILITY","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v253-WET","HotBot Kit 00 v253 - SMALL Box: no flow, wetness, WETILITY","Wetility","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v265-WET-02","HotBot Kit 00 v265 - SMALL Box: no flow, wetness, no cap wetness, WETILITY","Plentify Office - Oude Molen","","",,"",333787.8438,250.0000,0.0000,250.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v265-WET-02","HotBot Kit 00 v265 - SMALL Box: no flow, wetness, no cap wetness, WETILITY","Wetility","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v265-PFY","HotBot Kit 00 v265 - SMALL Box: no flow, with wetness","Herholdt's Group","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v265-PFY","HotBot Kit 00 v265 - SMALL Box: no flow, with wetness","Plentify Office - Oude Molen","","",,"",687746.8001,470.0000,0.0000,470.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v26x-WET","HotBot Kit 00 v26x - no flow, wetness, WETILITY","Plentify Office - Oude Molen","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v26x-WET","HotBot Kit 00 v26x - no flow, wetness, WETILITY","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-00-v26x-WET","HotBot Kit 00 v26x - no flow, wetness, WETILITY","Wetility","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v233-PFY","HotBot Kit 04 v23x - flow, wetness, PLENTIFY branded","Plentify JHB","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v233-PFY","HotBot Kit 04 v23x - flow, wetness, PLENTIFY branded","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v233-PFY","HotBot Kit 04 v23x - flow, wetness, PLENTIFY branded","Plentify Office 215","Assembled kits","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-PFY","HotBot Kit 04 v25x - flow, wetness, PLENTIFY branded","Africrest Milpark Mews","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-PFY","HotBot Kit 04 v25x - flow, wetness, PLENTIFY branded","Block Power","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-PFY","HotBot Kit 04 v25x - flow, wetness, PLENTIFY branded","Installer van stock","PlumbGuarantee","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-PFY","HotBot Kit 04 v25x - flow, wetness, PLENTIFY branded","Madikwe Estate","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-PFY","HotBot Kit 04 v25x - flow, wetness, PLENTIFY branded","Plentify JHB","","",,"",59728.3385,33.0000,0.0000,33.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-PFY","HotBot Kit 04 v25x - flow, wetness, PLENTIFY branded","Plentify Office - Oude Molen","","",,"",41773.0692,23.0000,0.0000,23.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-PFY","HotBot Kit 04 v25x - flow, wetness, PLENTIFY branded","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-PFY","HotBot Kit 04 v25x - flow, wetness, PLENTIFY branded","Plentify Office 215","Assembled kits","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-NSW","HotBot Kit 04 v25x - NO Starter Kit, NO Wetness, with flow","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-NSW","HotBot Kit 04 v25x - NO Starter Kit, NO Wetness, with flow","Sparrow Circle","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v253-NSW","HotBot Kit 04 v25x - NO Starter Kit, NO Wetness, with flow","The Emerald - Hyde Park","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v261-BAL","HotBot Kit 04 v261 - flow, no wetness, BALWIN","Balwin Johannesburg","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v261-BAL","HotBot Kit 04 v261 - flow, no wetness, BALWIN","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-01","HotBot Kit 04 v265 - BIG Box: no wetness, BALWIN","Balwin Cape Town","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-01","HotBot Kit 04 v265 - BIG Box: no wetness, BALWIN","Balwin Johannesburg","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-01","HotBot Kit 04 v265 - BIG Box: no wetness, BALWIN","Balwin KwaZulu-Natal","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-01","HotBot Kit 04 v265 - BIG Box: no wetness, BALWIN","Plentify Office - Oude Molen","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-01","HotBot Kit 04 v265 - BIG Box: no wetness, BALWIN","Plentify Office 215","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-PFY","HotBot Kit 04 v265 - flow, wetness, PLENTIFY branded","Plentify JHB","","",,"",29079.3201,15.0000,0.0000,15.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-PFY","HotBot Kit 04 v265 - flow, wetness, PLENTIFY branded","Plentify Office - Oude Molen","","",,"",18899.4655,10.0000,0.0000,10.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-02","HotBot Kit 04 v265 - SMALL Box: no wetness, BALWIN","Ballito Hills","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
"HotBot ","KIT-HB-04-v265-BAL-02","HotBot Kit 04 v265 - SMALL Box: no wetness, BALWIN","Balwin Cape Town","","",,"",458878.4253,350.0000,0.0000,350.0000,0.0000,0.0000,0.0000,ACTIVE,"units","","","",0,0,0,,"","","","","","","","","",""
